variant,finding_type,feature,family,n_nan,n_inf,n_unique,std
raw,mass,original_shape2D_Elongation,shape2D,0,0,1696,0.10892306941528397
raw,mass,original_shape2D_MajorAxisLength,shape2D,0,0,1696,138.91999817421424
raw,mass,original_shape2D_MaximumDiameter,shape2D,0,0,1663,147.61067037359044
raw,mass,original_shape2D_MeshSurface,shape2D,0,0,1693,80890.70057090416
raw,mass,original_shape2D_MinorAxisLength,shape2D,0,0,1696,113.45953876092236
raw,mass,original_shape2D_Perimeter,shape2D,0,0,1694,948.1345767316647
raw,mass,original_shape2D_PerimeterSurfaceRatio,shape2D,0,0,1696,0.011800567398539432
raw,mass,original_shape2D_PixelSurface,shape2D,0,0,1685,80891.67360036194
raw,mass,original_shape2D_Sphericity,shape2D,0,0,1696,0.09444018371103553
raw,mass,original_firstorder_10Percentile,firstorder,0,0,1316,9511.226175171496
raw,mass,original_firstorder_90Percentile,firstorder,0,0,1319,8307.566764185804
raw,mass,original_firstorder_Energy,firstorder,0,0,1696,167817616179120.3
raw,mass,original_firstorder_Entropy,firstorder,0,0,1696,0.2861821066451359
raw,mass,original_firstorder_InterquartileRange,firstorder,0,0,999,3076.7453385323965
raw,mass,original_firstorder_Kurtosis,firstorder,0,0,1696,1.952726626215607
raw,mass,original_firstorder_Maximum,firstorder,0,0,1266,7948.881478323302
raw,mass,original_firstorder_MeanAbsoluteDeviation,firstorder,0,0,1696,1719.853550686243
raw,mass,original_firstorder_Mean,firstorder,0,0,1696,8455.070358210423
raw,mass,original_firstorder_Median,firstorder,0,0,1314,8531.629022950608
raw,mass,original_firstorder_Minimum,firstorder,0,0,1319,10369.488698049545
raw,mass,original_firstorder_Range,firstorder,0,0,1401,9359.919301953687
raw,mass,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0,0,1696,1336.0245654247237
raw,mass,original_firstorder_RootMeanSquared,firstorder,0,0,1696,8326.486114537833
raw,mass,original_firstorder_Skewness,firstorder,0,0,1696,0.5633514819377322
raw,mass,original_firstorder_TotalEnergy,firstorder,0,0,1696,167817616179120.3
raw,mass,original_firstorder_Uniformity,firstorder,0,0,1696,0.016858089224179
raw,mass,original_firstorder_Variance,firstorder,0,0,1696,25332557.325641192
raw,mass,original_glcm_Autocorrelation,glcm,0,0,1696,118.10275537091994
raw,mass,original_glcm_ClusterProminence,glcm,0,0,1696,37877.19877933807
raw,mass,original_glcm_ClusterShade,glcm,0,0,1696,1017.6287999413638
raw,mass,original_glcm_ClusterTendency,glcm,0,0,1696,48.40396687221934
raw,mass,original_glcm_Contrast,glcm,0,0,1696,0.9290526220230425
raw,mass,original_glcm_Correlation,glcm,0,0,1696,0.020949866644126385
raw,mass,original_glcm_DifferenceAverage,glcm,0,0,1696,0.3129933343062327
raw,mass,original_glcm_DifferenceEntropy,glcm,0,0,1696,0.3477724561429934
raw,mass,original_glcm_DifferenceVariance,glcm,0,0,1696,0.40247506267984706
raw,mass,original_glcm_Id,glcm,0,0,1696,0.09307226039910096
raw,mass,original_glcm_Idm,glcm,0,0,1696,0.10845624070696347
raw,mass,original_glcm_Idmn,glcm,0,0,1696,0.0008810944602065243
raw,mass,original_glcm_Idn,glcm,0,0,1696,0.009019434984059245
raw,mass,original_glcm_Imc1,glcm,0,0,1696,0.1121844280028549
raw,mass,original_glcm_Imc2,glcm,0,0,1696,0.010087431420559739
