variant,finding_type,feature,family,d,F,n_malignant,n_benign,abs_d,rank
raw,mass,original_shape2D_Elongation,shape2D,0.13311329931354735,5.8319531938950835,637,681,0.13311329931354735,48
raw,mass,original_shape2D_MajorAxisLength,shape2D,0.42755778433093106,60.16733416695896,637,681,0.42755778433093106,10
raw,mass,original_shape2D_MaximumDiameter,shape2D,0.43501331482024325,62.283962412900216,637,681,0.43501331482024325,8
raw,mass,original_shape2D_MeshSurface,shape2D,0.400443728231712,52.778145518159846,637,681,0.400443728231712,12
raw,mass,original_shape2D_MinorAxisLength,shape2D,0.4502741749346623,66.73062803267146,637,681,0.4502741749346623,5
raw,mass,original_shape2D_Perimeter,shape2D,0.401715834021408,53.114003077868794,637,681,0.401715834021408,11
raw,mass,original_shape2D_PerimeterSurfaceRatio,shape2D,-0.3948731548706124,51.319965194043604,637,681,0.3948731548706124,14
raw,mass,original_shape2D_PixelSurface,shape2D,0.4004427694189535,52.77789277703722,637,681,0.4004427694189535,13
raw,mass,original_shape2D_Sphericity,shape2D,-0.04355813047267409,0.6244671493633436,637,681,0.04355813047267409,65
raw,mass,original_firstorder_10Percentile,firstorder,0.3105577734254708,31.74358280050459,637,681,0.3105577734254708,16
raw,mass,original_firstorder_90Percentile,firstorder,0.5009384034423174,82.59234339920175,637,681,0.5009384034423174,2
raw,mass,original_firstorder_Energy,firstorder,0.47641446776808155,74.70351161729896,637,681,0.47641446776808155,3
raw,mass,original_firstorder_Entropy,firstorder,0.08725294358918956,2.5057128991950592,637,681,0.08725294358918956,58
raw,mass,original_firstorder_InterquartileRange,firstorder,0.23149964153723593,17.638911439129412,637,681,0.23149964153723593,32
raw,mass,original_firstorder_Kurtosis,firstorder,-0.05049734085412343,0.8392824702864323,637,681,0.05049734085412343,64
raw,mass,original_firstorder_Maximum,firstorder,0.5024546838962795,83.09309434163781,637,681,0.5024546838962795,1
raw,mass,original_firstorder_MeanAbsoluteDeviation,firstorder,0.21539605620129548,15.270266925008036,637,681,0.21539605620129548,36
raw,mass,original_firstorder_Mean,firstorder,0.43425473478130006,62.06692916893026,637,681,0.43425473478130006,9
raw,mass,original_firstorder_Median,firstorder,0.4440866904518434,64.90925859752306,637,681,0.4440866904518434,6
raw,mass,original_firstorder_Minimum,firstorder,0.1804555251551735,10.717944442122382,637,681,0.1804555251551735,41
raw,mass,original_firstorder_Range,firstorder,0.22402713257583418,16.518567196351178,637,681,0.22402713257583418,33
raw,mass,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.19634222639434964,12.688157372412736,637,681,0.19634222639434964,39
raw,mass,original_firstorder_RootMeanSquared,firstorder,0.44177316765421304,64.23471513139773,637,681,0.44177316765421304,7
raw,mass,original_firstorder_Skewness,firstorder,-0.1553286271517711,7.940980720598477,637,681,0.1553286271517711,46
raw,mass,original_firstorder_TotalEnergy,firstorder,0.47641446776808155,74.70351161729896,637,681,0.47641446776808155,4
raw,mass,original_firstorder_Uniformity,firstorder,-0.06980757939161841,1.603896323263961,637,681,0.06980757939161841,62
raw,mass,original_firstorder_Variance,firstorder,0.12466989246761151,5.115573203322157,637,681,0.12466989246761151,50
raw,mass,original_glcm_Autocorrelation,glcm,0.22239808652616927,16.279206292847395,637,681,0.22239808652616927,35
raw,mass,original_glcm_ClusterProminence,glcm,0.06227701502329794,1.2765173170654012,637,681,0.06227701502329794,63
raw,mass,original_glcm_ClusterShade,glcm,-0.15592190972172174,8.001758220681781,637,681,0.15592190972172174,45
raw,mass,original_glcm_ClusterTendency,glcm,0.11836128117507799,4.610950382227028,637,681,0.11836128117507799,53
raw,mass,original_glcm_Contrast,glcm,-0.2875241048523444,27.209443160522586,637,681,0.2875241048523444,22
raw,mass,original_glcm_Correlation,glcm,0.30695530422656064,31.01140329260174,637,681,0.30695530422656064,17
raw,mass,original_glcm_DifferenceAverage,glcm,-0.2730809694304078,24.54448962261887,637,681,0.2730809694304078,23
raw,mass,original_glcm_DifferenceEntropy,glcm,-0.2509722474444453,20.731108926775917,637,681,0.2509722474444453,28
raw,mass,original_glcm_DifferenceVariance,glcm,-0.252240145715933,20.941102920022455,637,681,0.252240145715933,26
raw,mass,original_glcm_Id,glcm,0.24251326323499162,19.357181623719498,637,681,0.24251326323499162,30
raw,mass,original_glcm_Idm,glcm,0.24911173702842218,20.42488001859656,637,681,0.24911173702842218,29
raw,mass,original_glcm_Idmn,glcm,0.2896554242689612,27.61432714196004,637,681,0.2896554242689612,20
raw,mass,original_glcm_Idn,glcm,0.27019512223985787,24.02847137682186,637,681,0.27019512223985787,24
raw,mass,original_glcm_Imc1,glcm,-0.26822606733562626,23.679531098458664,637,681,0.26822606733562626,25
raw,mass,original_glcm_Imc2,glcm,0.2895551852989303,27.595217865747625,637,681,0.2895551852989303,21
raw,mass,original_glcm_InverseVariance,glcm,-0.07164200152103124,1.689299117417439,637,681,0.07164200152103124,61
raw,mass,original_glcm_JointAverage,glcm,0.2055833164606876,13.9106322530545,637,681,0.2055833164606876,38
raw,mass,original_glcm_JointEnergy,glcm,0.08375900349757875,2.3090542553812097,637,681,0.08375900349757875,59
raw,mass,original_glcm_JointEntropy,glcm,-0.15077673612885395,7.482380848804853,637,681,0.15077673612885395,47
raw,mass,original_glcm_MCC,glcm,0.2966391477262965,28.96196760177346,637,681,0.2966391477262965,18
raw,mass,original_glcm_MaximumProbability,glcm,0.11783576089325246,4.570096336531056,637,681,0.11783576089325246,54
raw,mass,original_glcm_SumAverage,glcm,0.20558331646068762,13.910632253054501,637,681,0.20558331646068762,37
raw,mass,original_glcm_SumEntropy,glcm,0.07911237751917774,2.0599657831135336,637,681,0.07911237751917774,60
raw,mass,original_glcm_SumSquares,glcm,0.11325067270470285,4.221363150700436,637,681,0.11325067270470285,56
raw,mass,original_glrlm_GrayLevelNonUniformity,glrlm,0.3389646540555847,37.81638075032302,637,681,0.3389646540555847,15
raw,mass,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,-0.1299763508588298,5.5603203503238445,637,681,0.1299763508588298,49
raw,mass,original_glrlm_GrayLevelVariance,glrlm,0.15807185452865058,8.223945641789573,637,681,0.15807185452865058,44
raw,mass,original_glrlm_HighGrayLevelRunEmphasis,glrlm,0.17930820906713207,10.582090701818641,637,681,0.17930820906713207,42
raw,mass,original_glrlm_LongRunEmphasis,glrlm,0.10993952151527257,3.97812860540493,637,681,0.10993952151527257,57
raw,mass,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0.1630367773869334,8.748675309334192,637,681,0.1630367773869334,43
raw,mass,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0.017257091950279715,0.09801811815911508,637,681,0.017257091950279715,67
raw,mass,original_glrlm_LowGrayLevelRunEmphasis,glrlm,-0.12136076096652972,4.847610481841758,637,681,0.12136076096652972,51
raw,mass,original_glrlm_RunEntropy,glrlm,0.25168444818414715,20.84893598269448,637,681,0.25168444818414715,27
raw,mass,original_glrlm_RunLengthNonUniformity,glrlm,0.2957703668227192,28.792571494799503,637,681,0.2957703668227192,19
raw,mass,original_glrlm_RunLengthNonUniformityNormalized,glrlm,-0.23762654850010165,18.584935318026414,637,681,0.23762654850010165,31
raw,mass,original_glrlm_RunPercentage,glrlm,-0.22327935907466015,16.408477567891488,637,681,0.22327935907466015,34
raw,mass,original_glrlm_RunVariance,glrlm,0.11472462129720545,4.331959618082773,637,681,0.11472462129720545,55
raw,mass,original_glrlm_ShortRunEmphasis,glrlm,-0.19463411168056352,12.468351828288156,637,681,0.19463411168056352,40
raw,mass,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,-0.023223384706297603,0.17750973148392388,637,681,0.023223384706297603,66
raw,mass,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,-0.11881042907758561,4.646011309281266,637,681,0.11881042907758561,52
raw,calcification,original_shape2D_Elongation,shape2D,-0.18931302775765807,12.63624781378316,544,1002,0.18931302775765807,57
raw,calcification,original_shape2D_MajorAxisLength,shape2D,0.5610130562299356,110.96935678142414,544,1002,0.5610130562299356,26
raw,calcification,original_shape2D_MaximumDiameter,shape2D,0.6209476887665755,135.94622783403167,544,1002,0.6209476887665755,13
raw,calcification,original_shape2D_MeshSurface,shape2D,0.6050870036839223,129.09005379665933,544,1002,0.6050870036839223,21
raw,calcification,original_shape2D_MinorAxisLength,shape2D,0.8170573380796649,235.37601251546087,544,1002,0.8170573380796649,1
raw,calcification,original_shape2D_Perimeter,shape2D,0.708520979873246,176.99563692486535,544,1002,0.708520979873246,3
raw,calcification,original_shape2D_PerimeterSurfaceRatio,shape2D,-0.5977105246090882,125.96182309973163,544,1002,0.5977105246090882,23
raw,calcification,original_shape2D_PixelSurface,shape2D,0.6050870555850855,129.0900759419845,544,1002,0.6050870555850855,20
raw,calcification,original_shape2D_Sphericity,shape2D,-0.169379779834245,10.115334752240555,544,1002,0.169379779834245,60
raw,calcification,original_firstorder_10Percentile,firstorder,0.17649090509346424,10.982514674624944,544,1002,0.17649090509346424,59
raw,calcification,original_firstorder_90Percentile,firstorder,0.4777945351353457,80.4895478746452,544,1002,0.4777945351353457,30
raw,calcification,original_firstorder_Energy,firstorder,0.6189130424314382,135.05678310165453,544,1002,0.6189130424314382,15
raw,calcification,original_firstorder_Entropy,firstorder,0.38173414258397315,51.378230435898494,544,1002,0.38173414258397315,42
raw,calcification,original_firstorder_InterquartileRange,firstorder,0.35079798077056673,43.388166828639584,544,1002,0.35079798077056673,44
raw,calcification,original_firstorder_Kurtosis,firstorder,-0.38926112098595,53.42434295020203,544,1002,0.38926112098595,40
raw,calcification,original_firstorder_Maximum,firstorder,0.3609092404507124,45.92541979075237,544,1002,0.3609092404507124,43
raw,calcification,original_firstorder_MeanAbsoluteDeviation,firstorder,0.31489180901343494,34.96067904726228,544,1002,0.31489180901343494,47
raw,calcification,original_firstorder_Mean,firstorder,0.40357081196739797,57.424421510658135,544,1002,0.40357081196739797,36
raw,calcification,original_firstorder_Median,firstorder,0.4661846743352975,76.62546374264878,544,1002,0.4661846743352975,31
raw,calcification,original_firstorder_Minimum,firstorder,-0.07021250681004941,1.7381453450183226,544,1002,0.07021250681004941,61
raw,calcification,original_firstorder_Range,firstorder,0.3087036909990875,33.60011593604681,544,1002,0.3087036909990875,48
raw,calcification,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.3303273859996914,38.47213543471403,544,1002,0.3303273859996914,45
raw,calcification,original_firstorder_RootMeanSquared,firstorder,0.42903554206794314,64.89984722285601,544,1002,0.42903554206794314,35
raw,calcification,original_firstorder_Skewness,firstorder,-0.7037806308195184,174.63518636748245,544,1002,0.7037806308195184,5
raw,calcification,original_firstorder_TotalEnergy,firstorder,0.6189130424314382,135.05678310165453,544,1002,0.6189130424314382,16
raw,calcification,original_firstorder_Uniformity,firstorder,-0.30087533729528626,31.917606188989083,544,1002,0.30087533729528626,49
raw,calcification,original_firstorder_Variance,firstorder,0.29608906764442494,30.91020437068114,544,1002,0.29608906764442494,50
raw,calcification,original_glcm_Autocorrelation,glcm,0.6117580207490424,131.95215149176067,544,1002,0.6117580207490424,19
raw,calcification,original_glcm_ClusterProminence,glcm,-0.22617047602555104,18.03553193685455,544,1002,0.22617047602555104,54
raw,calcification,original_glcm_ClusterShade,glcm,-0.6161683410902064,133.86156323905138,544,1002,0.6161683410902064,17
raw,calcification,original_glcm_ClusterTendency,glcm,0.020488850980671866,0.14801043641153558,544,1002,0.020488850980671866,62
raw,calcification,original_glcm_Contrast,glcm,-0.39077560969941894,53.84086521984613,544,1002,0.39077560969941894,39
raw,calcification,original_glcm_Correlation,glcm,0.3818705006452965,51.414942306182965,544,1002,0.3818705006452965,41
raw,calcification,original_glcm_DifferenceAverage,glcm,-0.5228569779119476,96.3879954303461,544,1002,0.5228569779119476,29
raw,calcification,original_glcm_DifferenceEntropy,glcm,-0.6200952356865067,135.5732230355227,544,1002,0.6200952356865067,14
raw,calcification,original_glcm_DifferenceVariance,glcm,-0.46347545293162784,75.73743743004408,544,1002,0.46347545293162784,32
raw,calcification,original_glcm_Id,glcm,0.6041657355266574,128.6972639329244,544,1002,0.6041657355266574,22
raw,calcification,original_glcm_Idm,glcm,0.5889417239888741,122.29305050203264,544,1002,0.5889417239888741,24
raw,calcification,original_glcm_Idmn,glcm,0.3929343948302861,54.43738100501352,544,1002,0.3929343948302861,38
raw,calcification,original_glcm_Idn,glcm,0.5317444741538037,99.69264129986556,544,1002,0.5317444741538037,28
raw,calcification,original_glcm_Imc1,glcm,-0.7075769296458764,176.52428475088095,544,1002,0.7075769296458764,4
raw,calcification,original_glcm_Imc2,glcm,0.4333855019739333,66.2225483722285,544,1002,0.4333855019739333,33
raw,calcification,original_glcm_InverseVariance,glcm,-0.6362999965242827,142.7515962973402,544,1002,0.6362999965242827,11
raw,calcification,original_glcm_JointAverage,glcm,0.6541950275743883,150.89387422119395,544,1002,0.6541950275743883,8
raw,calcification,original_glcm_JointEnergy,glcm,-0.007355513701713765,0.019075817079543166,544,1002,0.007355513701713765,66
raw,calcification,original_glcm_JointEntropy,glcm,-0.21928399594414888,16.95395417175256,544,1002,0.21928399594414888,55
raw,calcification,original_glcm_MCC,glcm,0.28511395951523855,28.661181836061594,544,1002,0.28511395951523855,52
raw,calcification,original_glcm_MaximumProbability,glcm,0.015530679771239576,0.08504290005995888,544,1002,0.015530679771239576,63
raw,calcification,original_glcm_SumAverage,glcm,0.6541950275743882,150.89387422119393,544,1002,0.6541950275743882,9
raw,calcification,original_glcm_SumEntropy,glcm,0.2867933910441929,28.99982718268874,544,1002,0.2867933910441929,51
raw,calcification,original_glcm_SumSquares,glcm,0.01454685283298428,0.0746096876871671,544,1002,0.01454685283298428,64
raw,calcification,original_glrlm_GrayLevelNonUniformity,glrlm,0.5752235614156523,116.66228136158713,544,1002,0.5752235614156523,25
raw,calcification,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,-0.4000377905323666,56.42338946378962,544,1002,0.4000377905323666,37
raw,calcification,original_glrlm_GrayLevelVariance,glrlm,-0.013635726408253758,0.06555618758606732,544,1002,0.013635726408253758,65
raw,calcification,original_glrlm_HighGrayLevelRunEmphasis,glrlm,0.6139032144983826,132.879182167034,544,1002,0.6139032144983826,18
raw,calcification,original_glrlm_LongRunEmphasis,glrlm,0.2822477306946212,28.08782103531954,544,1002,0.2822477306946212,53
raw,calcification,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0.328958296789502,38.15388974960844,544,1002,0.328958296789502,46
raw,calcification,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0.007278952906237807,0.018680777630527393,544,1002,0.007278952906237807,67
raw,calcification,original_glrlm_LowGrayLevelRunEmphasis,glrlm,-0.43055085073049154,65.35909574733147,544,1002,0.43055085073049154,34
raw,calcification,original_glrlm_RunEntropy,glrlm,0.7549405441557867,200.94751102160208,544,1002,0.7549405441557867,2
