feature,redundant_with,abs_r,finding_type
original_firstorder_TotalEnergy,original_firstorder_Energy,1.0,mass
original_firstorder_Median,original_firstorder_90Percentile,0.9585777407354233,mass
original_firstorder_RootMeanSquared,original_firstorder_90Percentile,0.966033379459392,mass
original_firstorder_Mean,original_firstorder_90Percentile,0.9552410662471806,mass
original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,0.9928280538706358,mass
original_shape2D_PixelSurface,original_shape2D_MeshSurface,0.999999999407941,mass
original_glcm_MCC,original_glcm_Correlation,0.9862050083250875,mass
original_glcm_Imc1,original_glrlm_RunEntropy,0.9611252530549105,calcification
original_glcm_SumAverage,original_glcm_JointAverage,1.0000000000000002,calcification
original_glrlm_RunPercentage,original_glrlm_ShortRunEmphasis,0.9746002776350675,calcification
original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_ShortRunEmphasis,0.9800914014989379,calcification
original_shape2D_MaximumDiameter,original_shape2D_Perimeter,0.979562187285813,calcification
original_firstorder_TotalEnergy,original_firstorder_Energy,1.0,calcification
original_glrlm_HighGrayLevelRunEmphasis,original_glcm_JointAverage,0.9724273897523416,calcification
original_glcm_Autocorrelation,original_glcm_JointAverage,0.9805239574474156,calcification
