finding_type,order,feature,family,angle_median,angle_iqr,angle_median_minmax,angle_iqr_minmax,test_below_train_min,test_above_train_max,F,p,rank_F
mass,1,original_firstorder_Maximum,firstorder,1.5703387350007638,1.569359135266723,2.087310498409376,0.65166979914813,0.0,0.0,83.09309434164223,2.84186558188201e-19,1
mass,2,original_firstorder_90Percentile,firstorder,1.5710663587411284,1.5706895017513418,1.870499491455389,0.6394676614321688,0.0,0.0,82.59234339919908,3.606662703230637e-19,2
mass,3,original_firstorder_Energy,firstorder,1.5709401767981364,1.569785409938071,0.14305333402276202,0.19682663188251298,0.0,0.0,74.70351161729903,1.5616870257532713e-17,3
mass,4,original_shape2D_MinorAxisLength,shape2D,1.5717117165222745,1.5724622326315145,0.5333676178616017,0.33879025549181097,0.0,0.0,66.73062803267179,7.23118824245704e-16,5
mass,5,original_shape2D_MaximumDiameter,shape2D,1.5706570781282485,1.5712542321303244,0.6062219795768384,0.3859431111286339,0.0,0.0,62.28396241290011,6.216072899631524e-15,8
mass,6,original_shape2D_Perimeter,shape2D,1.570893547192862,1.5705450320170002,0.4400977199236149,0.31670807453427907,0.0,0.0,53.11400307786675,5.409318103572736e-13,11
mass,7,original_shape2D_MeshSurface,shape2D,1.570609523798594,1.5698038140066188,0.13472250171921826,0.1444921956237119,0.0,0.0,52.77814551815996,6.375715072656263e-13,12
mass,8,original_shape2D_PerimeterSurfaceRatio,shape2D,1.5706951737762511,1.5695507758554945,0.6590465094384268,0.377240297663744,0.0,0.0,51.31996519404213,1.3024482383576374e-12,14
mass,9,original_glrlm_GrayLevelNonUniformity,glrlm,1.5710692241274968,1.570326155796625,0.2130457337638635,0.21135414059709962,0.0,0.0,37.816380750323695,1.0290229964238231e-09,15
mass,10,original_firstorder_10Percentile,firstorder,1.5706766777771497,1.5708150140069876,1.8982740507243339,0.6197189010075574,0.0,0.0,31.743582800503578,2.1491662006574868e-08,16
mass,11,original_glcm_Correlation,glcm,1.570792538303051,1.571136352322535,2.9686691101961484,0.22664277641920938,0.0,0.0,31.011403292437503,3.1061816409723685e-08,17
mass,12,original_glrlm_RunLengthNonUniformity,glrlm,1.5707908564576893,1.5710244907053803,0.37135085647914773,0.3457639630038041,0.0,0.0,28.792571494798846,9.509690401441963e-08,19
calcification,1,original_shape2D_MinorAxisLength,shape2D,1.5707688503102397,1.5696275478347874,0.19877054059207783,0.3028045227971308,0.0,0.0,235.3760125154606,1.4927908383343475e-49,1
calcification,2,original_glrlm_RunEntropy,glrlm,1.570929658983642,1.570048817016019,1.1063680729906307,0.7632695669456426,0.0,0.003067484662576687,200.94751102160816,5.6818313047314765e-43,2
calcification,3,original_shape2D_Perimeter,shape2D,1.5707097463366693,1.570911388871942,0.24219715702217454,0.3733411547485723,0.0,0.0,176.99563692486603,2.5868328832280414e-38,3
calcification,4,original_firstorder_Skewness,firstorder,1.5708056300778295,1.5701426545924364,1.2975697822863137,0.4263954637544596,0.0,0.003067484662576687,174.6351863674828,7.507922126666457e-38,5
calcification,5,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,1.5711560870601236,1.5700634882278846,0.28215015465069027,0.3386829646339434,0.0,0.003067484662576687,166.17205444104206,3.4689466183958504e-36,6
calcification,6,original_glrlm_ShortRunEmphasis,glrlm,1.571213660887985,1.5702608972890695,1.9968627449959375,0.9515751027286397,0.0,0.0,161.47806174307448,2.932656364011413e-35,7
calcification,7,original_glcm_JointAverage,glcm,1.5708755843767466,1.5705965288374801,1.4504990186553668,0.722593683585449,0.0,0.0,150.8938742211928,3.69528460255808e-33,8
calcification,8,original_glcm_InverseVariance,glcm,1.5707338125559271,1.569773542213801,2.799231063662942,0.762860071746243,0.0,0.0,142.75159629732417,1.5596760343292215e-31,11
calcification,9,original_glcm_DifferenceEntropy,glcm,1.5709708446109096,1.5708814256736192,1.0838087516866137,0.7283429880059651,0.0,0.0,135.57322303552124,4.2958123160191615e-30,14
calcification,10,original_firstorder_Energy,firstorder,1.5706503443691116,1.5718312944574886,0.014718455113225639,0.04613873619904443,0.0,0.0,135.05678310165425,5.4563564992647865e-30,15
calcification,11,original_glcm_ClusterShade,glcm,1.570583380094382,1.5695440176537083,1.0891577452383436,0.15517576826201407,0.006134969325153374,0.0,133.8615632390517,9.492882312444254e-30,17
calcification,12,original_shape2D_PixelSurface,shape2D,1.5694818000428588,1.5707869775042913,0.019803111240596652,0.056949364974790216,0.0,0.0,129.09007594198445,8.69674972950389e-29,20
