finding_type,r_max,n_firstorder,n_shape2D,n_glcm,n_glrlm,mean_abs_r,max_abs_r,pairs_above_095,worst_rank_F
mass,inf,7,5,0,0,0.6125235838318192,1.0,8,12
mass,0.99,5,5,1,1,0.5034471207427487,0.9585777407354233,1,17
mass,0.95,4,5,1,2,0.49969334501996054,0.9397605555543099,0,19
mass,0.9,4,3,3,2,0.43061655812872796,0.8908440589239018,0,25
mass,0.8,5,2,3,2,0.3486310180878021,0.7697169933363314,0,35
calcification,inf,1,2,4,5,0.575984896895637,1.0000000000000002,5,12
calcification,0.99,1,3,3,5,0.580862961562786,0.9800914014989379,5,13
calcification,0.95,2,3,4,3,0.4972287469906642,0.9426516375358083,0,20
calcification,0.9,2,3,3,4,0.4740484127538771,0.892696761012195,0,25
calcification,0.8,2,3,3,4,0.40039668827026387,0.792605575879211,0,33
