finding_type,kernel,c,gamma,mean_off_diagonal,median_off_diagonal,p05_off_diagonal,p95_off_diagonal,max_off_diagonal,fraction_lt_1e-3,min_eigenvalue,trace
mass,K_C,1.0,0.03222015570183491,0.5797042383966494,0.6016043231586934,0.17625271108216894,0.9143947369002451,0.9994333102830377,0.0,5.935011243230682e-06,200.0
mass,C4,1.0,0.03222015570183491,0.0035737379970152,0.0021573906937247737,0.0002451454592669629,0.01090332022341691,0.8243822948255307,0.23311557788944723,0.17444209850669376,200.0
mass,C4,0.5,0.03222015570183491,0.008913701659007666,0.0060121346326921475,0.000624518753522253,0.025536349912422394,0.8648593192989888,0.07834170854271356,0.13398714131122103,200.0
mass,C4,0.2,0.03222015570183491,0.039319425577729966,0.031915192032458906,0.012096494767465023,0.08848325429765311,0.9535172211580992,0.00035175879396984926,0.04493097468347007,200.0
mass,C4,0.1,0.03222015570183491,0.09637382727086767,0.06889079180781957,0.03591787161061274,0.24584139437010155,0.9855196595379997,0.0002512562814070352,0.011819099732696932,200.0
mass,C4,0.05,0.03222015570183491,0.23992414327670167,0.19897142944341523,0.08507121697940463,0.5449380486509052,0.9959989599724914,0.0,0.0018131052813432644,200.0
mass,C4,0.02,0.03222015570183491,0.5711801057309968,0.5549257196787138,0.3116641849452785,0.8851579582448841,0.999322828166779,0.0,4.216401947645657e-05,200.0
mass,C5,1.0,0.03222015570183491,0.004839131014892032,0.0028418320919113772,0.0002411392263290555,0.014735668821206591,0.8370871288549834,0.1963316582914573,0.1600082353806258,200.0
mass,C5,0.5,0.03222015570183491,0.021461588269070606,0.01919571766151111,0.004765026490653939,0.04358321380275708,0.8683538349260428,0.004874371859296483,0.12952447985990223,200.0
mass,C5,0.2,0.03222015570183491,0.056693242646151096,0.04987536466865264,0.03352816891294292,0.10294059587696029,0.9541700096403791,0.00015075376884422112,0.043091177601820865,200.0
mass,C5,0.1,0.03222015570183491,0.10189594745481452,0.07223867697945613,0.04407771899502208,0.2552257651414564,0.9856915915278315,0.0002512562814070352,0.01037984578385309,200.0
mass,C5,0.05,0.03222015570183491,0.24148232734133718,0.20126306841531075,0.08425199009408624,0.5470710623493593,0.9960426655605966,0.0,0.0017298232764175734,200.0
mass,C5,0.02,0.03222015570183491,0.5727961771671776,0.5568022311453615,0.31312703992059127,0.8861105506625344,0.9993298578707824,0.0,4.0499501957282996e-05,200.0
calcification,K_C,1.0,0.03208887830598762,0.6026449236145114,0.6238864858760081,0.1948118928074866,0.9287959307622777,0.9977418955822991,0.0,6.1105579859595095e-06,200.0
calcification,C4,1.0,0.03208887830598762,0.0045476458615127235,0.002860736218810725,0.00038552489175554326,0.014047255263078613,0.240128183050124,0.15964824120603016,0.7564379436287734,200.0
calcification,C4,0.5,0.03208887830598762,0.009809528837025523,0.006999037050102771,0.0012046980954227738,0.026743053470400492,0.4337224157434777,0.03798994974874372,0.5592180347508748,200.0
calcification,C4,0.2,0.03208887830598762,0.03521030847478587,0.026826584469942894,0.0028199326166589915,0.09647509525405763,0.7837737962985329,0.016683417085427137,0.20176609593716383,200.0
calcification,C4,0.1,0.03208887830598762,0.090657235074658,0.05913315728764077,0.010314903706988711,0.2764399743456007,0.9315045244670581,0.018944723618090454,0.03631155422134017,200.0
calcification,C4,0.05,0.03208887830598762,0.23659456700549722,0.17867575469345331,0.07241775520375184,0.5989070654004989,0.9813388163098243,0.0,0.0034840819509610117,200.0
calcification,C4,0.02,0.03208887830598762,0.5939281030116617,0.591270790763879,0.27968405869733737,0.9059849107506934,0.9968985375824141,0.0,3.2109417830383886e-05,200.0
calcification,C5,1.0,0.03208887830598762,0.006250195101246974,0.004136888395383129,0.0005575052381347527,0.017917577891122312,0.24282959329279005,0.09914572864321608,0.7499769159056975,200.0
calcification,C5,0.5,0.03208887830598762,0.0163248824198868,0.01342484428208453,0.0010651782671753905,0.039676405357533154,0.43691078108398074,0.047336683417085426,0.554880517341774,200.0
calcification,C5,0.2,0.03208887830598762,0.05286646593817917,0.046599906100002385,0.022986995132370507,0.10557438742405646,0.7855438981764234,0.0016582914572864321,0.19787802498148138,200.0
calcification,C5,0.1,0.03208887830598762,0.09649440734636139,0.06429070564366829,0.022780359254350523,0.2784151384324423,0.9321228008487151,0.008743718592964824,0.03550086246845431,200.0
calcification,C5,0.05,0.03208887830598762,0.23853663602842035,0.18045470289731252,0.0733262366282325,0.6011223264969214,0.9815090148553376,0.0,0.003386595193194029,200.0
calcification,C5,0.02,0.03208887830598762,0.5957849021505681,0.5935460436443141,0.28140587739102646,0.9067757440577278,0.996926559721742,0.0,3.093912596414871e-05,200.0
