finding_type,check,max_abs_difference,threshold,passed,symmetry_max_abs,diagonal_max_abs_error,min_entry,max_entry,min_eigenvalue
mass,matrix_K_C,8.881784197001252e-16,1e-10,True,0.0,8.881784197001252e-16,0.04408235335574783,1.0,5.935011243230682e-06
mass,matrix_K_Q_C4,0.0,1e-10,True,0.0,0.0,5.501292789182237e-07,1.0,0.17444209850669376
mass,matrix_K_Q_C4_c1.0,0.0,1e-10,True,0.0,0.0,5.501292789182237e-07,1.0,0.17444209850669376
mass,matrix_K_Q_C4_c0.5,0.0,1e-10,True,0.0,0.0,9.232634400989112e-07,1.0,0.13398714131122103
mass,matrix_K_Q_C4_c0.2,0.0,1e-10,True,0.0,0.0,0.00011845252079741153,1.0,0.04493097468347007
mass,matrix_K_Q_C4_c0.1,0.0,1e-10,True,0.0,0.0,6.655258626520756e-05,1.0,0.011819099732696932
mass,matrix_K_Q_C4_c0.05,0.0,1e-10,True,0.0,0.0,0.010840509581792189,1.0,0.0018131052813432644
mass,matrix_K_Q_C4_c0.02,0.0,1e-10,True,0.0,0.0,0.21582809923739738,1.0,4.216401947645657e-05
mass,matrix_K_Q_C5,0.0,1e-10,True,0.0,0.0,3.0240750516121813e-07,1.0,0.1600082353806258
mass,matrix_K_Q_C5_c1.0,0.0,1e-10,True,0.0,0.0,3.0240750516121813e-07,1.0,0.1600082353806258
mass,matrix_K_Q_C5_c0.5,0.0,1e-10,True,0.0,0.0,1.7215983062095727e-05,1.0,0.12952447985990223
mass,matrix_K_Q_C5_c0.2,0.0,1e-10,True,0.0,0.0,2.9993255009997035e-05,1.0,0.043091177601820865
mass,matrix_K_Q_C5_c0.1,0.0,1e-10,True,0.0,0.0,0.0005653510712126743,1.0,0.01037984578385309
mass,matrix_K_Q_C5_c0.05,0.0,1e-10,True,0.0,0.0,0.006208752913306818,1.0,0.0017298232764175734
mass,matrix_K_Q_C5_c0.02,0.0,1e-10,True,0.0,0.0,0.21549749979052799,1.0,4.0499501957282996e-05
mass,independent_statevector_C4,1.734723475976807e-18,1e-12,True,,,,,
mass,quantum_vs_statevector_10x10_C4,6.420542916774075e-11,1e-10,True,,,,,
mass,independent_statevector_C5,1.734723475976807e-18,1e-12,True,,,,,
mass,quantum_vs_statevector_10x10_C5,5.324183802168925e-11,1e-10,True,,,,,
calcification,matrix_K_C,8.881784197001252e-16,1e-10,True,0.0,8.881784197001252e-16,0.0632983255657727,1.0,6.1105579859595095e-06
calcification,matrix_K_Q_C4,0.0,1e-10,True,0.0,0.0,1.1840010672840855e-06,1.0,0.7564379436287734
calcification,matrix_K_Q_C4_c1.0,0.0,1e-10,True,0.0,0.0,1.1840010672840855e-06,1.0,0.7564379436287734
calcification,matrix_K_Q_C4_c0.5,0.0,1e-10,True,0.0,0.0,2.9657996445400488e-06,1.0,0.5592180347508748
calcification,matrix_K_Q_C4_c0.2,0.0,1e-10,True,0.0,0.0,1.7642935567037582e-07,1.0,0.20176609593716383
calcification,matrix_K_Q_C4_c0.1,0.0,1e-10,True,0.0,0.0,3.188476175273928e-08,1.0,0.03631155422134017
calcification,matrix_K_Q_C4_c0.05,0.0,1e-10,True,0.0,0.0,0.038341310714979884,1.0,0.0034840819509610117
calcification,matrix_K_Q_C4_c0.02,0.0,1e-10,True,0.0,0.0,0.18351180026144562,1.0,3.2109417830383886e-05
calcification,matrix_K_Q_C5,0.0,1e-10,True,0.0,0.0,1.471687919563798e-07,1.0,0.7499769159056975
calcification,matrix_K_Q_C5_c1.0,0.0,1e-10,True,0.0,0.0,1.471687919563798e-07,1.0,0.7499769159056975
calcification,matrix_K_Q_C5_c0.5,0.0,1e-10,True,0.0,0.0,2.443050602201668e-06,1.0,0.554880517341774
calcification,matrix_K_Q_C5_c0.2,0.0,1e-10,True,0.0,0.0,6.8799029742845175e-06,1.0,0.19787802498148138
calcification,matrix_K_Q_C5_c0.1,0.0,1e-10,True,0.0,0.0,1.2665194768405892e-07,1.0,0.03550086246845431
calcification,matrix_K_Q_C5_c0.05,0.0,1e-10,True,0.0,0.0,0.041785068603710215,1.0,0.003386595193194029
calcification,matrix_K_Q_C5_c0.02,0.0,1e-10,True,0.0,0.0,0.18515288617220987,1.0,3.093912596414871e-05
calcification,independent_statevector_C4,1.734723475976807e-18,1e-12,True,,,,,
calcification,quantum_vs_statevector_10x10_C4,6.484911913018365e-11,1e-10,True,,,,,
calcification,independent_statevector_C5,6.938893903907228e-18,1e-12,True,,,,,
calcification,quantum_vs_statevector_10x10_C5,3.031720534341087e-11,1e-10,True,,,,,
